Detector,Profile,File,Threshold,Score,TP,TN,FP,FN,Total_Count
pphtm,standard,realTweets/Twitter_volume_KO.csv,0.95078125,-0.712134292111,15,13482,32,1572,15851
pphtm,standard,realTweets/Twitter_volume_UPS.csv,0.95078125,-129.661621471,200,12280,1251,1385,15866
pphtm,standard,realAWSCloudwatch/ec2_network_in_257a54.csv,0.95078125,0.748908670438,5,3024,1,398,4032
pphtm,standard,realAdExchange/exchange-2_cpc_results.csv,0.95078125,-25.7312001398,45,962,256,118,1624
pphtm,standard,realAWSCloudwatch/ec2_network_in_5abac7.csv,0.95078125,-12.0905490685,38,3418,129,436,4730
pphtm,standard,realAWSCloudwatch/iio_us-east-1_i-a2eb1cd9_NetworkIn.csv,0.95078125,-2.08451529538,14,892,39,112,1243
pphtm,standard,realAWSCloudwatch/elb_request_count_8c0756.csv,0.95078125,-7.5722695554,19,2938,88,383,4032
pphtm,standard,artificialWithAnomaly/art_increase_spike_density.csv,0.95078125,-5.44717418167,12,2965,60,391,4032
pphtm,standard,artificialWithAnomaly/art_daily_nojump.csv,0.95078125,-64.5311396536,16,2411,614,387,4032
pphtm,standard,artificialWithAnomaly/art_load_balancer_spikes.csv,0.95078125,-29.6596919506,67,2733,292,336,4032
pphtm,standard,artificialWithAnomaly/art_daily_jumpsup.csv,0.95078125,-5.51095721914,24,2964,61,379,4032
pphtm,standard,realAWSCloudwatch/rds_cpu_utilization_cc0c53.csv,0.95078125,-2.0,0,3026,0,402,4032
pphtm,standard,artificialNoAnomaly/art_daily_no_noise.csv,0.95078125,-145.2,0,2108,1320,0,4032
pphtm,standard,realAWSCloudwatch/ec2_cpu_utilization_5f5533.csv,0.95078125,-55.8067311215,57,2477,549,345,4032
pphtm,standard,artificialNoAnomaly/art_daily_perfect_square_wave.csv,0.95078125,-1.32,0,3416,12,0,4032
pphtm,standard,realKnownCause/ambient_temperature_system_failure.csv,0.95078125,-81.8838537639,131,4988,803,595,7267
pphtm,standard,realKnownCause/machine_temperature_system_failure.csv,0.95078125,-153.478762624,158,18220,1457,2110,22695
pphtm,standard,realTweets/Twitter_volume_PFE.csv,0.95078125,-85.0803491148,159,12682,838,1429,15858
pphtm,standard,realTweets/Twitter_volume_CVS.csv,0.95078125,1.76033012726,14,13568,9,1512,15853
pphtm,standard,realTweets/Twitter_volume_IBM.csv,0.95078125,-129.245209655,172,12319,1234,1418,15893
pphtm,standard,realAdExchange/exchange-3_cpc_results.csv,0.95078125,1.72994231511,12,1145,10,141,1538
pphtm,standard,realAdExchange/exchange-4_cpc_results.csv,0.95078125,0.916118166522,5,1219,13,160,1643
pphtm,standard,realTweets/Twitter_volume_AAPL.csv,0.95078125,-2.92111150341,41,13495,69,1547,15902
pphtm,standard,realAWSCloudwatch/ec2_cpu_utilization_24ae8d.csv,0.95078125,-0.0365478289165,7,3009,17,395,4032
pphtm,standard,realKnownCause/ec2_request_latency_system_failure.csv,0.95078125,-2.2854590575,11,3033,49,335,4032
pphtm,standard,realAWSCloudwatch/rds_cpu_utilization_e47b3b.csv,0.95078125,-17.3469445517,33,2850,176,369,4032
pphtm,standard,realTraffic/speed_7578.csv,0.95078125,-3.60771405647,22,772,70,94,1127
pphtm,standard,realTraffic/occupancy_6005.csv,0.95078125,-54.781742852,56,1261,523,183,2380
pphtm,standard,realTraffic/speed_t4013.csv,0.95078125,-4.1658583211,17,1815,56,233,2495
pphtm,standard,realKnownCause/cpu_utilization_asg_misconfiguration.csv,0.95078125,-151.900410615,479,14411,1390,1020,18050
pphtm,standard,realTraffic/TravelTime_451.csv,0.95078125,-1.74894161145,13,1593,28,204,2162
pphtm,standard,realKnownCause/rogue_agent_key_updown.csv,0.95078125,-1.01642750771,2,4017,18,528,5315
pphtm,standard,realTraffic/speed_6005.csv,0.95078125,-21.783873909,23,1679,207,216,2500
pphtm,standard,artificialNoAnomaly/art_flatline.csv,0.95078125,0.0,0,3428,0,0,4032
pphtm,standard,realAWSCloudwatch/ec2_cpu_utilization_825cc2.csv,0.95078125,-42.5149423092,17,2674,411,326,4032
pphtm,standard,realTraffic/occupancy_t4013.csv,0.95078125,-19.5757655914,24,1672,203,226,2500
pphtm,standard,realAWSCloudwatch/ec2_cpu_utilization_53ea38.csv,0.95078125,-27.1211294806,53,2752,274,349,4032
pphtm,standard,realAWSCloudwatch/grok_asg_anomaly.csv,0.95078125,-95.9873608546,113,2542,921,352,4621
pphtm,standard,artificialNoAnomaly/art_noisy.csv,0.95078125,-114.73,0,2385,1043,0,4032
pphtm,standard,realAWSCloudwatch/ec2_cpu_utilization_ac20cd.csv,0.95078125,-181.6,147,1365,1660,256,4032
pphtm,standard,realAWSCloudwatch/ec2_cpu_utilization_77c1ca.csv,0.95078125,-117.321942312,151,1905,1120,252,4032
pphtm,standard,realTweets/Twitter_volume_FB.csv,0.95078125,0.946874551174,2,13494,7,1580,15833
pphtm,standard,realAdExchange/exchange-2_cpm_results.csv,0.95078125,-20.9029321805,25,1002,217,137,1624
pphtm,standard,realTraffic/TravelTime_387.csv,0.95078125,-4.86184000627,23,1802,74,226,2500
pphtm,standard,realTweets/Twitter_volume_GOOG.csv,0.95078125,-10.1120190913,53,13544,116,1379,15842
pphtm,standard,realAdExchange/exchange-3_cpm_results.csv,0.95078125,-44.8025000095,58,724,431,95,1538
pphtm,standard,realTweets/Twitter_volume_AMZN.csv,0.95078125,-1.92369021729,33,13447,54,1547,15831
pphtm,standard,realTweets/Twitter_volume_CRM.csv,0.95078125,2.15161415258,10,13554,5,1583,15902
pphtm,standard,artificialWithAnomaly/art_daily_jumpsdown.csv,0.95078125,-58.1031093492,31,2475,550,372,4032
pphtm,standard,realAdExchange/exchange-4_cpm_results.csv,0.95078125,-1.26897512744,8,1205,28,156,1643
pphtm,standard,realKnownCause/rogue_agent_key_hold.csv,0.95078125,-1.90101851028,6,1397,13,184,1882
pphtm,standard,artificialNoAnomaly/art_daily_small_noise.csv,0.95078125,-124.3,0,2298,1130,0,4032
pphtm,standard,artificialWithAnomaly/art_daily_flatmiddle.csv,0.95078125,-43.7039538569,44,2614,411,359,4032
pphtm,standard,realKnownCause/nyc_taxi.csv,0.95078125,-10.1873417528,45,8395,140,990,10320
pphtm,standard,realAWSCloudwatch/ec2_cpu_utilization_fe7f93.csv,0.95078125,-13.1086332321,24,2894,129,381,4032
pphtm,standard,realAWSCloudwatch/ec2_disk_write_bytes_1ef3de.csv,0.95078125,-11.836437592,22,3428,120,451,4730
pphtm,standard,realAWSCloudwatch/ec2_disk_write_bytes_c0d644.csv,0.95078125,-9.29787403754,26,2923,100,379,4032
pphtm,standard,realAWSCloudwatch/ec2_cpu_utilization_c6585a.csv,0.95078125,-151.58,0,2050,1378,0,4032
Totals,,,,-2297.09886845,2782,277141,22206,30713,365558
